entity_dir,track,level,method,source,coverage,gradient,mean_diff
Pacifastacus_leniusculus_alien,upstream_only,10,uncalibrated,contaminated,0.62792,0.10517,0.01722
Pacifastacus_leniusculus_alien,upstream_only,10,uncalibrated,null,0.99746,0.36456,-0.00015
Pacifastacus_leniusculus_alien,upstream_only,20,uncalibrated,contaminated,0.61187,0.12207,0.02844
Pacifastacus_leniusculus_alien,upstream_only,20,uncalibrated,null,0.99605,0.24325,-0.00173
Pacifastacus_leniusculus_alien,upstream_only,3,platt,contaminated,0.99455,0.13251,0.00488
Pacifastacus_leniusculus_alien,upstream_only,3,platt,null,0.99733,0.25983,-0.00028
Pacifastacus_leniusculus_alien,upstream_only,10,platt,contaminated,0.97784,0.10046,0.01528
Pacifastacus_leniusculus_alien,upstream_only,10,platt,null,0.99682,0.38276,-0.00052
Pacifastacus_leniusculus_alien,upstream_only,20,platt,contaminated,0.61107,0.11197,0.02496
Pacifastacus_leniusculus_alien,upstream_only,20,platt,null,0.99541,0.21825,-0.00231
Pacifastacus_leniusculus_alien,upstream_only,3,isotonic,contaminated,0.99383,-0.16184,0.00093
Pacifastacus_leniusculus_alien,upstream_only,3,isotonic,null,0.99674,-0.14314,-0.00047
Pacifastacus_leniusculus_alien,upstream_only,10,isotonic,contaminated,0.98192,-0.0695,0.0153
Pacifastacus_leniusculus_alien,upstream_only,10,isotonic,null,0.99549,-0.13327,-0.00087
Pacifastacus_leniusculus_alien,upstream_only,20,isotonic,contaminated,0.96675,0.06897,0.01882
Pacifastacus_leniusculus_alien,upstream_only,20,isotonic,null,0.99474,-0.1027,-0.00163
Pontastacus_leptodactylus_pooled,combined,3,uncalibrated,contaminated,0.98823,0.09087,0.00286
Pontastacus_leptodactylus_pooled,combined,3,uncalibrated,null,0.99063,0.03029,-0.00118
Pontastacus_leptodactylus_pooled,combined,10,uncalibrated,contaminated,0.96309,0.12552,0.01098
Pontastacus_leptodactylus_pooled,combined,10,uncalibrated,null,0.98435,0.01373,-0.00502
Pontastacus_leptodactylus_pooled,combined,20,uncalibrated,contaminated,0.91732,0.25801,0.02062
Pontastacus_leptodactylus_pooled,combined,20,uncalibrated,null,0.97742,0.14208,-0.00981
Pontastacus_leptodactylus_pooled,combined,3,platt,contaminated,0.99011,0.05796,0.00269
Pontastacus_leptodactylus_pooled,combined,3,platt,null,0.99176,0.04162,-0.00117
Pontastacus_leptodactylus_pooled,combined,10,platt,contaminated,0.96051,0.11724,0.01084
Pontastacus_leptodactylus_pooled,combined,10,platt,null,0.9861,0.02637,-0.00509
Pontastacus_leptodactylus_pooled,combined,20,platt,contaminated,0.91436,0.25387,0.01965
Pontastacus_leptodactylus_pooled,combined,20,platt,null,0.97821,0.13467,-0.00999
Pontastacus_leptodactylus_pooled,combined,3,isotonic,contaminated,0.9861,-0.08343,0.00212
Pontastacus_leptodactylus_pooled,combined,3,isotonic,null,0.98897,-0.07883,-0.00089
Pontastacus_leptodactylus_pooled,combined,10,isotonic,contaminated,0.96483,0.04842,0.0082
Pontastacus_leptodactylus_pooled,combined,10,isotonic,null,0.9847,-0.03792,-0.00405
Pontastacus_leptodactylus_pooled,combined,20,isotonic,contaminated,0.9297,0.17169,0.01555
Pontastacus_leptodactylus_pooled,combined,20,isotonic,null,0.97795,0.04793,-0.0083
Pontastacus_leptodactylus_pooled,local_only,3,uncalibrated,contaminated,0.9891,0.08716,0.00194
Pontastacus_leptodactylus_pooled,local_only,3,uncalibrated,null,0.99128,0.01656,-0.00177
Pontastacus_leptodactylus_pooled,local_only,10,uncalibrated,contaminated,0.9613,0.2835,0.0114
Pontastacus_leptodactylus_pooled,local_only,10,uncalibrated,null,0.98727,0.00893,-0.00508
Pontastacus_leptodactylus_pooled,local_only,20,uncalibrated,contaminated,0.92338,0.33755,0.02123
Pontastacus_leptodactylus_pooled,local_only,20,uncalibrated,null,0.98048,0.07453,-0.01117
Pontastacus_leptodactylus_pooled,local_only,3,platt,contaminated,0.9922,0.09218,0.00197
Pontastacus_leptodactylus_pooled,local_only,3,platt,null,0.99168,0.04228,-0.00147
Pontastacus_leptodactylus_pooled,local_only,10,platt,contaminated,0.96343,0.29375,0.01165
Pontastacus_leptodactylus_pooled,local_only,10,platt,null,0.98627,0.03051,-0.00466
Pontastacus_leptodactylus_pooled,local_only,20,platt,contaminated,0.9175,0.34452,0.02038
Pontastacus_leptodactylus_pooled,local_only,20,platt,null,0.98021,0.07562,-0.0111
Pontastacus_leptodactylus_pooled,local_only,3,isotonic,contaminated,0.98924,-0.0086,0.00182
Pontastacus_leptodactylus_pooled,local_only,3,isotonic,null,0.99141,-0.00359,-0.00144
