bin,n,frac_over_mean,frac_over_median,entity_dir,track,level,mask
0,3193,0.85687,0.71062,Faxonius_limosus_alien,local_only,10,never_trained
1,3193,0.70247,0.72095,Faxonius_limosus_alien,local_only,10,never_trained
2,3193,0.59317,0.72534,Faxonius_limosus_alien,local_only,10,never_trained
3,3193,0.48043,0.61635,Faxonius_limosus_alien,local_only,10,never_trained
4,3193,0.35171,0.3539,Faxonius_limosus_alien,local_only,10,never_trained
0,4011,0.88581,0.77088,Faxonius_limosus_alien,local_only,20,all
1,4010,0.7404,0.70648,Faxonius_limosus_alien,local_only,20,all
2,4010,0.59875,0.67531,Faxonius_limosus_alien,local_only,20,all
3,4010,0.45337,0.57182,Faxonius_limosus_alien,local_only,20,all
4,4011,0.3084,0.34056,Faxonius_limosus_alien,local_only,20,all
0,3138,0.88815,0.81517,Faxonius_limosus_alien,local_only,20,never_trained
1,3137,0.72011,0.74084,Faxonius_limosus_alien,local_only,20,never_trained
2,3137,0.56742,0.68282,Faxonius_limosus_alien,local_only,20,never_trained
3,3137,0.41568,0.52853,Faxonius_limosus_alien,local_only,20,never_trained
4,3137,0.2767,0.27957,Faxonius_limosus_alien,local_only,20,never_trained
0,4011,0.80429,0.51857,Faxonius_limosus_alien,local_only,3,all
1,4010,0.68279,0.60175,Faxonius_limosus_alien,local_only,3,all
2,4010,0.64564,0.71397,Faxonius_limosus_alien,local_only,3,all
3,4010,0.56733,0.67855,Faxonius_limosus_alien,local_only,3,all
4,4011,0.44428,0.44752,Faxonius_limosus_alien,local_only,3,all
0,3232,0.80755,0.58663,Faxonius_limosus_alien,local_only,3,never_trained
1,3232,0.68626,0.69121,Faxonius_limosus_alien,local_only,3,never_trained
2,3232,0.64202,0.76207,Faxonius_limosus_alien,local_only,3,never_trained
3,3232,0.556,0.67358,Faxonius_limosus_alien,local_only,3,never_trained
4,3232,0.43038,0.40532,Faxonius_limosus_alien,local_only,3,never_trained
0,4011,0.5101,0.46597,Faxonius_limosus_alien,upstream_only,10,all
1,4010,0.42494,0.48778,Faxonius_limosus_alien,upstream_only,10,all
2,4010,0.99626,0.99576,Faxonius_limosus_alien,upstream_only,10,all
3,4010,1.0,1.0,Faxonius_limosus_alien,upstream_only,10,all
4,4011,0.47968,0.4924,Faxonius_limosus_alien,upstream_only,10,all
0,3193,0.50204,0.51206,Faxonius_limosus_alien,upstream_only,10,never_trained
1,3193,0.49327,0.57783,Faxonius_limosus_alien,upstream_only,10,never_trained
2,3193,1.0,1.0,Faxonius_limosus_alien,upstream_only,10,never_trained
3,3193,0.99217,0.99217,Faxonius_limosus_alien,upstream_only,10,never_trained
4,3193,0.40025,0.40714,Faxonius_limosus_alien,upstream_only,10,never_trained
0,4011,0.49564,0.48716,Faxonius_limosus_alien,upstream_only,20,all
1,4010,0.4197,0.45985,Faxonius_limosus_alien,upstream_only,20,all
2,4010,0.99601,0.99576,Faxonius_limosus_alien,upstream_only,20,all
3,4010,1.0,1.0,Faxonius_limosus_alien,upstream_only,20,all
4,4011,0.43381,0.44054,Faxonius_limosus_alien,upstream_only,20,all
0,3138,0.48693,0.51147,Faxonius_limosus_alien,upstream_only,20,never_trained
1,3137,0.47211,0.53044,Faxonius_limosus_alien,upstream_only,20,never_trained
2,3137,1.0,1.0,Faxonius_limosus_alien,upstream_only,20,never_trained
3,3137,0.98789,0.98852,Faxonius_limosus_alien,upstream_only,20,never_trained
4,3137,0.34013,0.33822,Faxonius_limosus_alien,upstream_only,20,never_trained
0,4011,0.49838,0.45824,Faxonius_limosus_alien,upstream_only,3,all
1,4010,0.47456,0.53292,Faxonius_limosus_alien,upstream_only,3,all
