cell,member,before_brier,before_ece,before_cal_intercept,before_cal_slope,platt_brier,platt_ece,platt_cal_intercept,platt_cal_slope,isotonic_brier,isotonic_ece,isotonic_cal_intercept,isotonic_cal_slope,entity_dir,track,level
Austropotamobius_torrentium_pooled__consensus__combined__lowacc__L10,glm,0.20835,0.03949,0.00138,0.54671,0.27396,0.1767,0.0001,0.08087,0.26349,0.12879,0.0054,0.06468,Austropotamobius_torrentium_pooled,combined,10
Austropotamobius_torrentium_pooled__consensus__combined__lowacc__L10,gam,0.24457,0.11243,0.02144,0.21939,0.33088,0.34421,0.00194,-0.5218,0.35433,0.32591,-0.0059,-0.19372,Austropotamobius_torrentium_pooled,combined,10
Austropotamobius_torrentium_pooled__consensus__combined__lowacc__L10,random_forest,0.22936,0.07523,-0.18051,0.65105,0.31473,0.25373,0.00464,-0.1194,0.33736,0.34021,0.00229,-0.03618,Austropotamobius_torrentium_pooled,combined,10
Austropotamobius_torrentium_pooled__consensus__combined__lowacc__L10,xgboost,0.25038,0.21457,-0.42178,0.33616,0.25871,0.1265,0.01653,0.304,0.26412,0.14781,0.01201,0.19597,Austropotamobius_torrentium_pooled,combined,10
Austropotamobius_torrentium_pooled__consensus__combined__lowacc__L20,glm,0.20781,0.03752,0.01666,0.61516,0.24034,0.03606,0.0005,0.26783,0.23051,0.07793,0.01084,0.2743,Austropotamobius_torrentium_pooled,combined,20
Austropotamobius_torrentium_pooled__consensus__combined__lowacc__L20,gam,0.23239,0.07303,0.03571,0.30145,0.28597,0.1994,-0.02948,-0.086,0.29568,0.19496,-0.01878,-0.03175,Austropotamobius_torrentium_pooled,combined,20
Austropotamobius_torrentium_pooled__consensus__combined__lowacc__L20,random_forest,0.18324,0.04192,0.13224,1.21671,0.19382,0.06441,0.10496,0.94432,0.20869,0.09421,0.17714,0.62182,Austropotamobius_torrentium_pooled,combined,20
Austropotamobius_torrentium_pooled__consensus__combined__lowacc__L20,xgboost,0.19772,0.1497,-0.09186,0.40552,0.17656,0.02726,0.00103,0.91892,0.18371,0.08301,0.08929,0.40616,Austropotamobius_torrentium_pooled,combined,20
Austropotamobius_torrentium_pooled__consensus__combined__lowacc__L3,glm,0.19948,0.05077,0.01049,0.63631,0.23501,0.07596,0.04725,0.44155,0.22717,0.10962,0.04832,0.34964,Austropotamobius_torrentium_pooled,combined,3
Austropotamobius_torrentium_pooled__consensus__combined__lowacc__L3,gam,0.21545,0.07619,0.08637,0.42944,0.26779,0.19049,0.04619,0.1954,0.2862,0.22651,0.02645,0.06034,Austropotamobius_torrentium_pooled,combined,3
Austropotamobius_torrentium_pooled__consensus__combined__lowacc__L3,random_forest,0.17042,0.06978,0.2912,1.22588,0.18701,0.08784,0.11554,0.85134,0.20826,0.0927,0.15968,0.55133,Austropotamobius_torrentium_pooled,combined,3
Austropotamobius_torrentium_pooled__consensus__combined__lowacc__L3,xgboost,0.1815,0.14123,-0.04752,0.41423,0.16611,0.03234,-0.00949,0.93487,0.18007,0.07332,0.15335,0.58557,Austropotamobius_torrentium_pooled,combined,3
Austropotamobius_torrentium_pooled__consensus__local_only__benchmark__L0,glm,0.20482,0.07376,0.04645,0.80148,0.24654,0.08414,0.09909,0.40949,0.23477,0.1497,0.09144,0.42611,Austropotamobius_torrentium_pooled,local_only,0
Austropotamobius_torrentium_pooled__consensus__local_only__benchmark__L0,gam,0.22727,0.08801,0.12011,0.40581,0.2864,0.23561,0.02924,0.07306,0.30452,0.23363,0.01904,0.0217,Austropotamobius_torrentium_pooled,local_only,0
