entity,algorithm,track,axis,level,auc_mean,tss_mean,brier_mean,boyce_mean,auc_std,tss_std,brier_std,boyce_std,n_reps_ok,min_folds,benchmark_presence_n,segments,auc_clean,tss_clean,brier_clean,boyce_clean,delta_auc,delta_tss,delta_brier,delta_boyce
Pacifastacus leniusculus (alien),random_forest,combined,lowacc,10,0.8427,0.5035,0.1626,0.9698,0.0104,0.0344,0.0055,0.0261,30,5.0,4171.0,37449.0,0.8734,0.5732,0.1451,0.9927,-0.0307,-0.0697,0.0175,-0.023
Pacifastacus leniusculus (alien),random_forest,combined,lowacc,20,0.8233,0.4619,0.1693,0.9862,0.0075,0.0247,0.0037,0.0111,30,5.0,4171.0,37449.0,0.8734,0.5732,0.1451,0.9927,-0.0501,-0.1113,0.0242,-0.0065
Pacifastacus leniusculus (alien),random_forest,local_only,benchmark,0,0.8695,0.5784,0.1479,0.9903,,,,,1,5.0,4171.0,37449.0,0.8695,0.5784,0.1479,0.9903,0.0,0.0,0.0,0.0
Pacifastacus leniusculus (alien),random_forest,local_only,lowacc,3,0.8609,0.5645,0.1529,0.9693,0.0132,0.042,0.0056,0.022,30,5.0,4171.0,37449.0,0.8695,0.5784,0.1479,0.9903,-0.0085,-0.0139,0.005,-0.021
Pacifastacus leniusculus (alien),random_forest,local_only,lowacc,10,0.8397,0.5004,0.1645,0.9667,0.0103,0.0364,0.0059,0.031,30,5.0,4171.0,37449.0,0.8695,0.5784,0.1479,0.9903,-0.0298,-0.078,0.0167,-0.0236
Pacifastacus leniusculus (alien),random_forest,local_only,lowacc,20,0.8202,0.4575,0.1712,0.9792,0.0078,0.0227,0.0037,0.0139,30,5.0,4171.0,37449.0,0.8695,0.5784,0.1479,0.9903,-0.0493,-0.1209,0.0233,-0.0112
Pacifastacus leniusculus (alien),random_forest,upstream_only,benchmark,0,0.7998,0.4897,0.1734,0.983,,,,,1,5.0,4171.0,37449.0,0.7998,0.4897,0.1734,0.983,0.0,0.0,0.0,0.0
Pacifastacus leniusculus (alien),random_forest,upstream_only,lowacc,3,0.8026,0.4784,0.1736,0.9783,0.0143,0.0281,0.0043,0.0192,30,5.0,4171.0,37449.0,0.7998,0.4897,0.1734,0.983,0.0028,-0.0113,0.0001,-0.0048
Pacifastacus leniusculus (alien),random_forest,upstream_only,lowacc,10,0.783,0.4391,0.1808,0.9769,0.0116,0.0249,0.0042,0.0217,30,5.0,4171.0,37449.0,0.7998,0.4897,0.1734,0.983,-0.0168,-0.0506,0.0074,-0.0061
Pacifastacus leniusculus (alien),random_forest,upstream_only,lowacc,20,0.765,0.3916,0.1874,0.9887,0.0095,0.0149,0.0033,0.0065,30,5.0,4171.0,37449.0,0.7998,0.4897,0.1734,0.983,-0.0348,-0.0981,0.014,0.0057
